0	Menongue	SPP	2	Angola	9	Middle Africa	0	Africa	1	AO
1	Huambo	NOV	2	Angola	9	Middle Africa	0	Africa	1	AO
2	M'Banza Congo	SSY	2	Angola	9	Middle Africa	0	Africa	1	AO
3	Soyo	SZA	2	Angola	9	Middle Africa	0	Africa	1	AO
4	Lubango	SDD	2	Angola	9	Middle Africa	0	Africa	1	AO
5	Kuito	SVP	2	Angola	9	Middle Africa	0	Africa	1	AO
6	Cabinda	CAB	2	Angola	9	Middle Africa	0	Africa	1	AO
7	Luena	LUO	2	Angola	9	Middle Africa	0	Africa	1	AO
8	Ondjiva	VPE	2	Angola	9	Middle Africa	0	Africa	1	AO
9	Malange	MEG	2	Angola	9	Middle Africa	0	Africa	1	AO
10	Saurimo	VHC	2	Angola	9	Middle Africa	0	Africa	1	AO
11	Luanda	LAD	2	Angola	9	Middle Africa	0	Africa	1	AO
12	Catumbela	CBT	2	Angola	9	Middle Africa	0	Africa	1	AO
13	Namibe	MSZ	2	Angola	9	Middle Africa	0	Africa	1	AO
14	Chlef	CFK	61	Algeria	10	Northern Africa	0	Africa	0	DZ
15	Hassi Messaoud	HME	61	Algeria	10	Northern Africa	0	Africa	0	DZ
16	Setif	QSF	61	Algeria	10	Northern Africa	0	Africa	0	DZ
17	Laghouat	LOO	61	Algeria	10	Northern Africa	0	Africa	0	DZ
18	El Bayadh	EBH	61	Algeria	10	Northern Africa	0	Africa	0	DZ
19	Tebessa	TEE	61	Algeria	10	Northern Africa	0	Africa	0	DZ
20	Oran	ORN	61	Algeria	10	Northern Africa	0	Africa	0	DZ
21	In Salah	INZ	61	Algeria	10	Northern Africa	0	Africa	0	DZ
22	In Guezzam	INF	61	Algeria	10	Northern Africa	0	Africa	1	DZ
23	Biskra	BSK	61	Algeria	10	Northern Africa	0	Africa	0	DZ
24	Constantine	CZL	61	Algeria	10	Northern Africa	0	Africa	0	DZ
25	Ouargla	OGX	61	Algeria	10	Northern Africa	0	Africa	0	DZ
26	Touggourt	TGR	61	Algeria	10	Northern Africa	0	Africa	0	DZ
27	Illizi	VVZ	61	Algeria	10	Northern Africa	0	Africa	0	DZ
28	El Golea	ELG	61	Algeria	10	Northern Africa	0	Africa	0	DZ
29	El Oued	ELU	61	Algeria	10	Northern Africa	0	Africa	0	DZ
30	Adrar	AZR	61	Algeria	10	Northern Africa	0	Africa	0	DZ
31	Djanet	DJG	61	Algeria	10	Northern Africa	0	Africa	0	DZ
32	Batna	BLJ	61	Algeria	10	Northern Africa	0	Africa	0	DZ
33	Ghardaia	GHA	61	Algeria	10	Northern Africa	0	Africa	0	DZ
34	Bordj Mokhtar	BMW	61	Algeria	10	Northern Africa	0	Africa	1	DZ
35	Tlemcen	TLM	61	Algeria	10	Northern Africa	0	Africa	0	DZ
36	In Amenas	IAM	61	Algeria	10	Northern Africa	0	Africa	0	DZ
37	Mecheria	MZW	61	Algeria	10	Northern Africa	0	Africa	0	DZ
38	Tamanrasset	TMR	61	Algeria	10	Northern Africa	0	Africa	1	DZ
39	Timimoun	TMX	61	Algeria	10	Northern Africa	0	Africa	0	DZ
40	Bejaia	BJA	61	Algeria	10	Northern Africa	0	Africa	0	DZ
41	Jijel	GJL	61	Algeria	10	Northern Africa	0	Africa	0	DZ
42	Bechar	CBH	61	Algeria	10	Northern Africa	0	Africa	0	DZ
43	Algiers	ALG	61	Algeria	10	Northern Africa	0	Africa	0	DZ
44	Mascara	MUW	61	Algeria	10	Northern Africa	0	Africa	0	DZ
45	Annaba	AAE	61	Algeria	10	Northern Africa	0	Africa	0	DZ
46	Tindouf	TIN	61	Algeria	10	Northern Africa	0	Africa	0	DZ
47	Tiaret	TID	61	Algeria	10	Northern Africa	0	Africa	0	DZ
48	Mersa Matruh	MUH	63	Egypt, Arab Rep.	10	Northern Africa	0	Africa	0	EG
49	Sohag	HMB	63	Egypt, Arab Rep.	10	Northern Africa	0	Africa	0	EG
